filename, ballooning, fibrosis, inflammation, steatosis
202_2_19_43_jpg.rf.62a4a1f10db870c96ef8cc41c1ea200f.jpg, 0, 0, 0, 1
18_229_Masson_201_133_28_jpg.rf.6340c4b20633bfe6ad6830880aecd8ca.jpg, 1, 0, 0, 0
18_236_202_36_8_jpg.rf.638c47ad48dca110959c4ca33477654d.jpg, 1, 0, 0, 0
15_242_208_35_17_jpg.rf.62a0f9ca5864d9db94dd09787980b6f1.jpg, 0, 1, 0, 0
15_242_212_27_12_jpg.rf.62a70573cc8617a990c8c340002a2e72.jpg, 0, 1, 0, 0
18_236_303_64_15_jpg.rf.6323c4bd20f5e2b60083fd6e091ddc33.jpg, 1, 0, 0, 0
18_217_217_44_20_jpg.rf.63ed7f7d04a49e117fe214a78f825485.jpg, 0, 0, 1, 0
18_229_Masson_202_101_39_jpg.rf.6334155d64df84ed68c5389a7bb126b2.jpg, 1, 0, 0, 0
15_242_208_27_17_jpg.rf.640cd13be21fb506ed508e173b87af9a.jpg, 0, 1, 0, 0
16_224_603_160_40_jpg.rf.63f9b7f285eaf1f4920f54716af11e36.jpg, 0, 0, 1, 0
208_2_8_8_jpg.rf.6407f6006f871de1e23ea92211fa49ac.jpg, 0, 0, 0, 1
18_229_Masson_201_15_27_jpg.rf.6459c927bbfeeda2c4185a73bc77195a.jpg, 1, 0, 0, 0
202_7_8_38_jpg.rf.63f66c1bdeac1f851781900b6a8020c3.jpg, 0, 0, 0, 1
18_217_217_43_35_jpg.rf.64778a74bc535afbc73e6d0979c81be6.jpg, 0, 0, 1, 0
16_256_207_23_21_jpg.rf.645f1f2f3622c2bd5aa13b7820c9df20.jpg, 0, 1, 0, 0
206_2_20_17_jpg.rf.6430de853e4bfbfc83e50820a89d5678.jpg, 0, 0, 0, 1
15_242_208_32_14_jpg.rf.647434198bf031635bc008dc1748f056.jpg, 0, 1, 0, 0
202_6_17_53_jpg.rf.6485517b234f5502e0501b8275cf0f96.jpg, 0, 0, 0, 1
16_256_202_22_7_jpg.rf.648342bd71c790944935b17a6b56a1a8.jpg, 0, 1, 0, 0
18_236_203_79_25_jpg.rf.62e07b9efce7f73e6dfaaa9ca4cbc4f9.jpg, 1, 0, 0, 0
16_256_205_18_1_jpg.rf.64be2276e3af66084b2cfc7b9923f947.jpg, 0, 1, 0, 0
201_3_9_46_jpg.rf.649aa0d3ab493922577f1b8068454fd7.jpg, 0, 0, 0, 1
18_219_208_47_23_jpg.rf.653bb458a4c7ffbc9ce3734917d8f92b.jpg, 0, 0, 1, 0
18_236_303_59_18_jpg.rf.64c5b9af04c50dc6a3c2949a1df0644e.jpg, 1, 0, 0, 0
18_229_302_34_8_jpg.rf.6522d1c8d7ab803e9548a9ea8592ba07.jpg, 0, 1, 0, 0
17_228_801_66_21_jpg.rf.6613b2903ae079891e1d56010c0f1bd4.jpg, 1, 0, 0, 0
301_12_17_56_jpg.rf.668a8e7c107ba6613f8117b5a4acf395.jpg, 0, 0, 0, 1
18_229_Masson_202_54_58_jpg.rf.66cf23708a2c565187c2a1a6110d69f9.jpg, 1, 0, 0, 0
202_9_21_45_jpg.rf.66f007ea98673114b2ab7e75f8dda13f.jpg, 0, 0, 0, 1
208_2_6_49_jpg.rf.6701d37d8bbcf261193c6c81ade6c51c.jpg, 0, 0, 0, 1
18_236_303_54_19_jpg.rf.6567ca507beaa2262ee714e3789da47a.jpg, 1, 0, 0, 0
203_3_9_11_jpg.rf.65c7a7b05445068c467ef8f3a90a0442.jpg, 0, 0, 0, 1
17_228_801_72_64_jpg.rf.6574278fbda3b00c64797a221f3d7e74.jpg, 1, 0, 0, 0
208_4_15_1_jpg.rf.65e0a3b8ae3ddffc4d673f45e35c7af7.jpg, 0, 0, 0, 1
207_5_15_20_jpg.rf.67678780c215e4bffb23cf74d8aac828.jpg, 0, 0, 0, 1
18_217_217_46_9_jpg.rf.6705f0dc518602d1e4f93cec06b20ef0.jpg, 0, 0, 1, 0
16_256_202_22_15_jpg.rf.655fdbd98435334580d04648efcf6f86.jpg, 0, 1, 0, 0
18_217_217_48_14_jpg.rf.65fe97a739a010ff926dfff78ec69ab6.jpg, 0, 0, 1, 0
16_224_606_179_23_jpg.rf.67878b79b93aa1e4876ec83b6c67ca36.jpg, 0, 0, 1, 0
208_3_9_56_jpg.rf.6752703ec3383a3073e46ce90deebdb8.jpg, 0, 0, 0, 1
202_0_11_51_jpg.rf.6592314698a18ec8b77a0eaa162399a5.jpg, 0, 0, 0, 1
202_5_12_41_jpg.rf.654e264e316b969622adf9a5c87ac27c.jpg, 0, 0, 0, 1
203_0_21_50_jpg.rf.66651fe33c12b8669759680930105a3a.jpg, 0, 0, 0, 1
15_242_208_25_17_jpg.rf.6689ef31123a70897e173df847a42314.jpg, 0, 1, 0, 0
15_242_208_35_23_jpg.rf.67856d9b9aad3866b4b460450ed68ba4.jpg, 0, 1, 0, 0
15_242_212_17_21_jpg.rf.65492d764d22f165d9b5ac5e334d0c8a.jpg, 0, 1, 0, 0
18_229_Masson_302_37_21_jpg.rf.67d7586c01451f16a34ecd5ca432befc.jpg, 1, 0, 0, 0
18_217_217_64_21_jpg.rf.68b36a72d3450fb655515f2c4c7740cc.jpg, 0, 0, 1, 0
18_217_217_42_34_jpg.rf.687413340c28699c142dd043abe8dec6.jpg, 0, 0, 1, 0
203_1_10_20_jpg.rf.6734680bb0ae1d79c7defe446bdc2d2d.jpg, 0, 0, 0, 1
17_209_102_11_32_jpg.rf.6644e5da3a0f4cf3061feef190bbfbbd.jpg, 0, 0, 1, 0
15_242_211_22_4_jpg.rf.690ed39132770ffd6d713f23364c7e88.jpg, 0, 1, 0, 0
18_236_203_75_44_jpg.rf.67920532f9bf86d34bf0c2c65b4d6d3f.jpg, 1, 0, 0, 0
15_242_208_39_14_jpg.rf.680d98966bc8bc36e6f2ca389761a385.jpg, 0, 1, 0, 0
19_212_D1208_21_4_jpg.rf.6578ee07fe5bdbb2d27b2771a48d3410.jpg, 0, 1, 0, 0
16_224_603_162_56_jpg.rf.6822267a087386fe10f9aef960df6a01.jpg, 0, 0, 1, 0
18_211_Masson_207_119_31_jpg.rf.691bc68886dd2c50b4297b8f42dc9ad5.jpg, 1, 0, 0, 0
201_6_8_32_jpg.rf.6880c2390c21de074c037d3aab703471.jpg, 0, 0, 0, 1
18_217_217_43_17_jpg.rf.679f82019d92f538f871f5454d572c5c.jpg, 0, 0, 1, 0
18_229_Masson_302_26_18_jpg.rf.69494452524529358dccbece80876305.jpg, 1, 0, 0, 0
201_6_6_30_jpg.rf.67af1e57f3527237e793823e654f5dfe.jpg, 0, 0, 0, 1
206_2_9_30_jpg.rf.689faa65044e84f2c638f217fa923ff6.jpg, 0, 0, 0, 1
15_242_208_31_24_jpg.rf.682cbc7ac899d81ab869bbb8e1ccb831.jpg, 0, 1, 0, 0
15_242_212_20_19_jpg.rf.6964501ba08da4609dd27db14d977d93.jpg, 0, 1, 0, 0
208_4_22_37_jpg.rf.6985997fa1285cc2a9ebc90bc2ec6b78.jpg, 0, 0, 0, 1
17_228_801_66_58_jpg.rf.697931e5cd8c72fdde1f67a64a8216c5.jpg, 1, 0, 0, 0
18_228_Masson_505_88_35_jpg.rf.6b36af81442dc3b8f4c486841abc05c5.jpg, 1, 0, 0, 0
18_217_217_58_15_jpg.rf.6707be9800b5718994fdc15cb500ea05.jpg, 0, 0, 1, 0
18_217_217_58_16_jpg.rf.694f258923ae6e6acd1b8811f8252107.jpg, 0, 0, 1, 0
